"colour_morph","growing_zone","year","week","week_count","scaled_count","date"
"Black","5","2018",1,0,0,2018-01-01
"Black","5","2018",2,0,0,2018-01-08
"Black","5","2018",3,0,0,2018-01-15
"Black","5","2018",4,0,0,2018-01-22
"Black","5","2018",5,0,0,2018-01-29
"Black","5","2018",6,0,0,2018-02-05
"Black","5","2018",7,0,0,2018-02-12
"Black","5","2018",8,0,0,2018-02-19
"Black","5","2018",9,0,0,2018-02-26
"Black","5","2018",10,0,0,2018-03-05
"Black","5","2018",11,0,0,2018-03-12
"Black","5","2018",12,0,0,2018-03-19
"Black","5","2018",13,0,0,2018-03-26
"Black","5","2018",14,0,0,2018-04-02
"Black","5","2018",15,0,0,2018-04-09
"Black","5","2018",16,0,0,2018-04-16
"Black","5","2018",17,0,0,2018-04-23
"Black","5","2018",18,0,0,2018-04-30
"Black","5","2018",19,0,0,2018-05-07
"Black","5","2018",20,0,0,2018-05-14
"Black","5","2018",21,0,0,2018-05-21
"Black","5","2018",22,0,0,2018-05-28
"Black","5","2018",23,0,0,2018-06-04
"Black","5","2018",24,1,0.0625,2018-06-11
"Black","5","2018",25,2,0.125,2018-06-18
"Black","5","2018",26,1,0.0625,2018-06-25
"Black","5","2018",27,9,0.5625,2018-07-02
"Black","5","2018",28,6,0.375,2018-07-09
"Black","5","2018",29,6,0.375,2018-07-16
"Black","5","2018",30,7,0.4375,2018-07-23
"Black","5","2018",31,11,0.6875,2018-07-30
"Black","5","2018",32,9,0.5625,2018-08-06
"Black","5","2018",33,12,0.75,2018-08-13
"Black","5","2018",34,9,0.5625,2018-08-20
"Black","5","2018",35,16,1,2018-08-27
"Black","5","2018",36,14,0.875,2018-09-03
"Black","5","2018",37,8,0.5,2018-09-10
"Black","5","2018",38,7,0.4375,2018-09-17
"Black","5","2018",39,3,0.1875,2018-09-24
"Black","5","2018",40,1,0.0625,2018-10-01
"Black","5","2018",41,0,0,2018-10-08
"Black","5","2018",42,0,0,2018-10-15
"Black","5","2018",43,0,0,2018-10-22
"Black","5","2018",44,0,0,2018-10-29
"Black","5","2018",45,0,0,2018-11-05
"Black","5","2018",46,0,0,2018-11-12
"Black","5","2018",47,0,0,2018-11-19
"Black","5","2018",48,0,0,2018-11-26
"Black","5","2018",49,0,0,2018-12-03
"Black","5","2018",50,0,0,2018-12-10
"Black","5","2018",51,0,0,2018-12-17
"Black","5","2018",52,0,0,2018-12-24
"Black","5","2018",53,0,0,2018-12-31
"Black","5","2019",1,0,0,2019-01-01
"Black","5","2019",2,0,0,2019-01-08
"Black","5","2019",3,0,0,2019-01-15
"Black","5","2019",4,0,0,2019-01-22
"Black","5","2019",5,0,0,2019-01-29
"Black","5","2019",6,0,0,2019-02-05
"Black","5","2019",7,0,0,2019-02-12
"Black","5","2019",8,0,0,2019-02-19
"Black","5","2019",9,0,0,2019-02-26
"Black","5","2019",10,0,0,2019-03-05
"Black","5","2019",11,0,0,2019-03-12
"Black","5","2019",12,0,0,2019-03-19
"Black","5","2019",13,0,0,2019-03-26
"Black","5","2019",14,0,0,2019-04-02
"Black","5","2019",15,0,0,2019-04-09
"Black","5","2019",16,0,0,2019-04-16
"Black","5","2019",17,0,0,2019-04-23
"Black","5","2019",18,0,0,2019-04-30
"Black","5","2019",19,0,0,2019-05-07
"Black","5","2019",20,0,0,2019-05-14
"Black","5","2019",21,0,0,2019-05-21
"Black","5","2019",22,0,0,2019-05-28
"Black","5","2019",23,0,0,2019-06-04
"Black","5","2019",24,0,0,2019-06-11
"Black","5","2019",25,3,0.1,2019-06-18
"Black","5","2019",26,8,0.266666666666667,2019-06-25
"Black","5","2019",27,9,0.3,2019-07-02
"Black","5","2019",28,4,0.133333333333333,2019-07-09
"Black","5","2019",29,11,0.366666666666667,2019-07-16
"Black","5","2019",30,18,0.6,2019-07-23
"Black","5","2019",31,22,0.733333333333333,2019-07-30
"Black","5","2019",32,21,0.7,2019-08-06
"Black","5","2019",33,30,1,2019-08-13
"Black","5","2019",34,28,0.933333333333333,2019-08-20
"Black","5","2019",35,20,0.666666666666667,2019-08-27
"Black","5","2019",36,25,0.833333333333333,2019-09-03
