"","observed_on","latitude","longitude","field.colour","RedMean","RedSD","RedMin","RedMax","RedKurt","RedSkew","GreenMean","GreenSD","GreenMin","GreenMax","GreenKurt","GreenSkew","BlueMean","BlueSD","BlueMin","BlueMax","BlueKurt","BlueSkew"
"4","2018-02-22",26.3836495949,-81.6125919297,"Black",115.700516351119,25.5316399842289,40,186,-0.576375782082609,0.0347305084469041,109.630378657487,24.8947633976756,36,175,-0.659776544642223,0.0384730690037781,81.592082616179,20.0873607984855,24,144,-0.214587855730495,0.333868068670106
"51","2018-04-02",31.3801583333,-94.35125,"Black",112.241808952469,40.5859477119522,12,255,-0.0759751071587766,0.505915084271346,100.862021227503,38.8962519298714,18,242,-0.0914521903273702,0.616192260715039,47.2441162898016,36.3205010488277,0,186,0.250200704768759,0.880301069395363
"55","2018-04-05",29.8230371013,-94.666365087,"Black",140.555691554468,34.5455546032067,6,236,0.805443949022482,-0.957513879392624,130.949571603427,37.6823012898249,9,227,-0.00885293632598572,-0.659904383513594,106.084700122399,40.4851053424955,11,233,-0.768993555998624,-0.118012936405097
"56","2018-04-07",29.8553083333,-89.897445,"Black",132.21186440678,29.5120175146633,57,246,1.58944492242088,0.619540218401258,123.224576271186,27.7351530117583,48,228,1.46148825924268,0.459603795171028,97.0635593220339,26.9421797448717,33,204,1.64837035671601,0.631382552474612
"62","2018-04-09",29.8852263549,-96.8543606953,"Black",185.980263157895,32.8425527713328,62,253,0.792797296506472,-0.67800542299639,171.213815789474,33.0243985199264,56,246,0.289578667380141,-0.410806408901784,127.891447368421,36.5317086267798,20,232,0.0330235418723093,0.0865158205450862
"65","2018-04-13",30.2709766106,-97.7253126798,"Black",171.038318452381,42.5888027920476,29,255,-0.0417707342919504,-0.362852307678284,184.605282738095,40.6540324618533,38,255,0.238566348371525,-0.65819558808584,171.21130952381,42.5312423802908,33,255,-0.142365633327184,-0.37669674370591
"67","2018-04-11",30.8134783333,-94.0241,"Black",184.021276595745,42.1722481515403,27,255,0.640633007431311,-0.631301244635136,185.88328857674,43.9121518273547,22,255,0.595736829037077,-0.6029090309553,145.049369964883,37.4187748444989,0,220,0.522447029972693,-0.612708734244343
"75","2018-04-07",29.794081927,-90.1331404969,"Black",141.321692411014,42.2289817712302,1,216,0.751220338878023,-1.05304535457821,129.287441235729,40.2887676049843,0,210,0.648388698643229,-0.906780677610104,106.034251175285,36.6998620495457,0,202,0.273596349410256,-0.505803379909918
"82","2018-04-21",30.7646117009,-95.4786286616,"Black",172.257712565839,40.4216414258011,37,250,-0.00626140772395223,-0.78728643842725,161.329947328819,38.6785077440556,30,236,-0.00619955912900449,-0.749886194175169,128.777652370203,33.1403397672859,1,199,0.622986522152914,-0.813760467553961
"86","2018-04-25",30.3724783333,-97.6967466667,"Black",170.735926305015,45.8776664120245,19,254,-0.0518322239951026,-0.768435182441238,197.691231661549,46.8950231488113,38,255,0.0218773244729471,-0.862733383552057,191.703172978506,45.2053855277638,32,255,0.27020676155383,-0.93720360366877
"88","2018-04-26",32.9708446834,-96.6738788321,"Black",179.632131147541,41.1392419362893,0,248,2.98190251094622,-1.67110272614125,176.833442622951,38.1411122441114,1,246,3.56412434034434,-1.7929872340322,169.486338797814,35.951465170057,0,255,3.64199871710239,-1.76746601837938
"90","2018-04-27",30.4046290135,-97.7911843547,"Black",220.780705394191,38.4163072065791,4,255,6.05345257971703,-2.21635121923754,217.915145228216,36.8019671785759,1,255,6.55572478444336,-2.2957839552124,217.180705394191,37.1550304359831,0,255,6.27177787732306,-2.25021347775014
"92","2018-04-27",30.4047215916,-97.7894861811,"Black",227.364046391753,41.5484097241422,24,255,7.49448838106608,-2.74119115286328,228.679768041237,42.3814145238783,14,255,7.36704426017656,-2.70872562956304,195.862757731959,36.6670221604909,5,238,6.16423541566808,-2.35354197178564
"93","2018-04-27",31.3324966667,-89.3358333333,"Black",214.859608125112,28.6156923488817,80,255,1.69861953572901,-1.13799039659631,202.913715621068,32.4161368788862,54,255,0.979938696444731,-0.871720173424553,148.833363293187,31.0510782168241,19,223,0.51815432537815,-0.642284803345906
"94","2018-04-27",30.4179583333,-97.784455,"Black",229.579855314413,27.6739667528259,12,255,15.6414119179507,-3.229473341582,232.218697829716,27.6409633935479,17,255,15.1890750387046,-3.2150528223352,223.644407345576,27.170784784776,21,255,12.1381039116024,-2.72524830931076
"95","2018-04-27",32.8689912596,-96.6829096607,"Black",116.799953959484,59.0685229352116,0,255,-1.10752367764308,0.308075389834497,104.305478821363,52.1563530986556,0,255,-0.886577833085431,0.310738711468475,71.4484346224678,38.9064559823594,0,255,1.41371792544198,0.949963787626115
"98","2018-04-26",30.0327083333,-95.5013883333,"Black",120.386139697832,55.1272113002304,5,243,-0.885605522608575,0.0285195016956063,112.618567987738,53.1738090428287,6,237,-0.913409038087701,0.0510412127761299,106.889424129626,54.3137092472457,0,247,-0.869432096818314,0.183482604211583
"103","2018-04-28",32.72835597,-96.7522271723,"Black",169.495821727019,45.6530406653018,8,253,-0.469336803547974,-0.416424517661601,169.934540389972,42.5397987974449,4,251,-0.0420317110652095,-0.470876258722832,141.533426183844,48.8086049094832,0,238,-0.807867906817812,-0.146385070782688
