"","id","observed_on","user_id","colour_morph","head_capsule","growing_zone","date","year","elevation","elev_units","coords.x1","coords.x2","optional","sqrt_elev"
"2",10594554,"2018-04-02",49118,"Black","Yes",8,2018-04-02,2018,71.29,"meters",-94.35125,31.3801583333,TRUE,8.44334057112468
"3",10655954,"2018-04-05",770715,"Black","Yes",9,2018-04-05,2018,8.77,"meters",-94.666365087,29.8230371013,TRUE,2.96141857899217
"4",10703268,"2018-04-07",793642,"Black","Yes",9,2018-04-07,2018,0,"meters",-89.897445,29.8553083333,TRUE,0
"5",10704057,"2018-04-07",793642,"Black","Yes",9,2018-04-07,2018,0,"meters",-89.897445,29.8553083333,TRUE,0
"6",10811527,"2018-04-09",655334,"Black","Yes",8,2018-04-09,2018,112.99,"meters",-96.8543606953,29.8852263549,TRUE,10.6296754418938
"7",10827324,"2018-04-12",838679,"Black","Yes",8,2018-04-12,2018,204.21,"meters",-97.7062965465,30.4062692682,TRUE,14.2902064365775
"8",10904883,"2018-04-13",751145,"Black","Yes",8,2018-04-13,2018,167.33,"meters",-97.7253126798,30.2709766106,TRUE,12.9356097652952
"9",10984120,"2018-04-11",210095,"Black","Yes",8,2018-04-11,2018,67.99,"meters",-94.0241,30.8134783333,TRUE,8.24560488987921
"10",10996097,"2018-04-13",111241,"Black","Yes",9,2018-04-13,2018,4.67,"meters",-94.393225,29.5718883333,TRUE,2.16101827849743
"11",11119851,"2018-04-18",834183,"Black","Yes",8,2018-04-18,2018,39.74,"meters",-94.4152171166,30.5466605723,TRUE,6.30396700498979
"12",11164496,"2018-04-15",825396,"Black","Yes",9,2018-04-15,2018,2.24,"meters",-93.60299,29.757558,TRUE,1.49666295470958
"13",11180468,"2018-04-07",703773,"Black","Yes",9,2018-04-07,2018,0.23,"meters",-90.1331404969,29.794081927,TRUE,0.479583152331272
"14",11182991,"2018-03-25",861008,"Black","Yes",9,2018-03-25,2018,33.68,"meters",-81.7382583618,28.4340782166,TRUE,5.80344725141876
"15",11240187,"2018-04-20",863895,"Black","Yes",8,2018-04-20,2018,20.93,"meters",-91.1649903283,30.5707187299,TRUE,4.57493169347915
"16",11269262,"2018-04-21",865253,"Black","Yes",8,2018-04-21,2018,17.98,"meters",-91.1677408334,30.5710173315,TRUE,4.24028300942284
"17",11270008,"2018-04-21",750323,"Black","Yes",8,2018-04-21,2018,67.9,"meters",-95.4786286616,30.7646117009,TRUE,8.24014562978107
"18",11274501,"2018-04-21",865019,"Black","Yes",8,2018-04-21,2018,17.98,"meters",-91.1651906,30.56948137,TRUE,4.24028300942284
"19",11422193,"2018-04-25",880755,"Black","Yes",8,2018-04-25,2018,218.94,"meters",-97.6967466667,30.3724783333,TRUE,14.7966212359444
"20",11423795,"2018-04-25",647457,"Black","Yes",8,2018-04-25,2018,204.08,"meters",-98.4716033333,29.463075,TRUE,14.2856571427429
"21",11455298,"2018-04-26",417445,"Black","Yes",8,2018-04-26,2018,168.17,"meters",-96.6738788321,32.9708446834,TRUE,12.9680376310373
"22",11500508,"2018-04-27",725210,"Black","Yes",8,2018-04-27,2018,206.08,"meters",-97.7911843547,30.4046290135,TRUE,14.3554867559411
"23",11503015,"2018-04-27",856348,"Black","Yes",8,2018-04-27,2018,200.23,"meters",-97.7894861811,30.4047215916,TRUE,14.1502650151861
"24",11519212,"2018-04-27",589844,"Black","Yes",8,2018-04-27,2018,66.8,"meters",-89.3358333333,31.3324966667,TRUE,8.17312669668102
"25",11526797,"2018-04-27",856338,"Black","Yes",8,2018-04-27,2018,274.74,"meters",-97.784455,30.4179583333,TRUE,16.5752828030173
"26",11531150,"2018-04-27",225587,"Black","Yes",8,2018-04-27,2018,183.73,"meters",-96.6829096607,32.8689912596,TRUE,13.5547039805375
"27",11610621,"2018-04-28",344760,"Black","Yes",9,2018-04-28,2018,4.96,"meters",-95.3737103754,29.7810645774,TRUE,2.22710574513201
"28",11631668,"2018-04-26",796058,"Black","Yes",9,2018-04-26,2018,37.59,"meters",-95.5013883333,30.0327083333,TRUE,6.13106842238773
"29",11660445,"2018-04-27",111285,"Black","Yes",9,2018-04-27,2018,165.03,"meters",-98.4647095633,29.3483654707,TRUE,12.8464002740067
"30",11698054,"2018-04-28",802537,"Black","Yes",8,2018-04-28,2018,156.15,"meters",-97.3168945313,30.6851639377,TRUE,12.4959993597951
"31",11703419,"2018-04-28",80181,"Black","Yes",8,2018-04-28,2018,118.97,"meters",-96.7522271723,32.72835597,TRUE,10.9073369802166
"32",11784769,"2018-04-29",899286,"Black","Yes",9,2018-04-29,2018,1.57,"meters",-93.2953562961,30.35104007,TRUE,1.25299640861417
"33",11849418,"2018-04-29",827099,"Black","Yes",8,2018-04-29,2018,199.35,"meters",-97.6963611,30.4048608,TRUE,14.1191359509001
"34",11933544,"2018-04-30",775329,"Black","Yes",8,2018-04-30,2018,192.4,"meters",-97.0874938965,32.7009849548,TRUE,13.8708327075198
