id,observed_on,user_id,latitude,longitude,field:colour,field:head capsule visible
9372525,2018-01-05,739977,39.3654485141,-89.6802561352,Black,
9907583,2018-02-18,469469,29.6822033333,-82.6054383333,,
9959131,2018-02-22,115235,30.250575,-94.1788166667,,
9965676,2018-02-22,584563,26.3836495949,-81.6125919297,Black,
9974712,2018-02-23,18812,28.0651143838,-97.8845880926,,
9977404,2018-02-23,22417,29.0427158333,-95.4195108333,,
9985396,2018-02-24,74385,30.2505116667,-94.178375,,
10000815,2018-02-24,435598,30.4118008,-97.6487289,,
10012615,2018-02-26,207263,32.0323778333,-85.4559783333,,
10027847,2018-02-27,18812,28.0650694143,-97.8846202791,,
10031077,2018-02-28,22417,29.0427158333,-95.4195108333,,
10051038,2018-03-01,18812,28.0650694143,-97.8846108913,,
10058760,2018-03-02,424633,30.3815155029,-90.1010131836,,
10085417,2018-03-03,18812,27.6686549499,-97.2855488956,,
10095309,2018-03-04,18812,27.6685943748,-97.2855609655,,
10095373,2018-03-02,435598,30.3502407,-97.5471079,,
10116191,2018-03-06,424633,30.3814411163,-90.101272583,,
10120904,2018-03-06,45587,33.5531990428,-86.9556732078,,
10131169,2018-02-25,90526,30.2184601761,-97.4157941305,,
10131172,2018-02-25,90526,30.351611054,-97.4097101945,,
10162194,2018-03-08,2873,26.3760723738,-81.6076915312,Black,
10176933,2018-03-10,207263,32.0325555,-85.4561466667,,
10182918,2018-03-10,22417,29.0427158333,-95.4195108333,,
10191991,2018-03-10,18812,30.2946313423,-97.2579717636,,
10194270,2018-03-10,18812,30.3507173514,-97.3874500394,,
10242054,2018-03-14,43772,29.854795,-98.734646,,
10258687,2018-03-16,18446,32.8385,-93.915327,,
10259191,2018-03-16,18446,32.8385,-93.915327,,
10266541,2018-03-16,36961,30.2719059213,-97.7754496783,,
10277196,2018-03-17,207263,32.0326,-85.4560783333,,
10277273,2018-03-17,207263,32.0326611667,-85.4561,,
10284181,2018-03-10,33404,30.1016212896,-97.2734754682,,
10294243,2018-03-17,302207,34.4276248179,-78.1725929459,,
10309640,2018-03-09,24973,32.9798076608,-96.7267097694,,
10309687,2018-03-19,18446,32.83849,-93.915321,,
10317248,2018-03-19,34728,32.6852760745,-94.4770745545,,
10352603,2018-03-21,288963,35.2169533333,-97.466645,,
10375505,2018-03-10,24973,32.8245879409,-96.7961682635,,
10375540,2018-03-10,24973,32.9045144331,-96.7970656008,,
10387183,2018-03-16,24973,32.9390799144,-96.7326358217,,
10396491,2018-03-24,18446,32.838503,-93.915329,,
10405459,2018-03-19,24973,32.868384838,-96.6450837881,,
10405540,2018-03-20,24973,32.9081765763,-96.7378311796,,
10407502,2018-03-24,207263,32.0324361667,-85.455925,,
10422827,2018-03-25,792712,29.425565628,-95.1738004759,Black,
10423759,2018-03-23,25863,32.6020504237,-97.143948029,,
10431258,2018-03-26,18446,32.838494,-93.91534,,
10471063,2018-03-27,470497,34.2056829,-86.1585436,,
10574526,2018-04-01,3511,33.262125,-87.4845416667,,
10594554,2018-04-02,49118,31.3801583333,-94.35125,Black,
10629303,2018-04-01,18780,35.3562162809,-76.9740343094,,
10651431,2018-04-05,593075,35.9514406356,-96.8193364449,,
10651437,2018-04-05,593075,35.9127400512,-96.8791408054,,
10655954,2018-04-05,770715,29.8230371013,-94.666365087,Black,
10703268,2018-04-07,793642,29.8553083333,-89.897445,Black,
10704057,2018-04-07,793642,29.8553083333,-89.897445,Black,
10710380,2018-04-08,618076,30.03423027,-98.12641446,Red,
10763754,2018-02-21,16744,25.6390705109,-100.2073516846,,
10767853,2018-04-10,288963,35.2167166667,-97.4665366667,,
10774535,2018-04-10,220543,36.736498,-96.183483,,
10811527,2018-04-09,655334,29.8852263549,-96.8543606953,Black,
10816294,2018-04-12,469469,29.5486133333,-82.3439866667,Black,
10827324,2018-04-12,838679,30.4062692682,-97.7062965465,Black,
10904883,2018-04-13,751145,30.2709766106,-97.7253126798,Black,
10975551,2018-04-15,430818,29.7228611573,-96.0863092871,Black,
10984120,2018-04-11,210095,30.8134783333,-94.0241,Black,
